iter	Passed	Remaining
400	18385	27464
401	18436	27425
402	18481	27377
403	18527	27332
404	18572	27284
405	18616	27236
406	18656	27182
407	18698	27131
408	18741	27081
409	18786	27033
410	18829	26984
411	18875	26938
412	18916	26885
413	18966	26845
414	19006	26792
415	19051	26744
416	19094	26695
417	19131	26638
418	19177	26592
419	19222	26544
420	19265	26495
421	19308	26446
422	19353	26399
423	19398	26353
424	19445	26308
425	19493	26266
426	19538	26218
427	19581	26170
428	19627	26123
429	19670	26074
430	19708	26018
431	19753	25972
432	19799	25926
433	19843	25878
434	19883	25825
435	19931	25782
436	19978	25738
437	20022	25691
438	20065	25641
439	20108	25592
440	20153	25546
441	20196	25496
442	20240	25449
443	20284	25401
444	20326	25351
445	20401	25341
446	20454	25305
447	20510	25272
448	20551	25220
449	20594	25170
450	20631	25115
451	20670	25060
452	20713	25011
453	20753	24959
454	20793	24906
455	20833	24854
456	20873	24801
457	20919	24755
458	20964	24709
459	21008	24661
460	21051	24612
461	21091	24561
462	21136	24514
463	21180	24466
464	21221	24416
465	21260	24363
466	21304	24315
467	21341	24260
468	21387	24214
469	21442	24179
470	21479	24125
471	21517	24070
472	21557	24018
473	21598	23967
474	21644	23923
475	21690	23877
476	21733	23829
477	21780	23785
478	21825	23739
479	21867	23690
480	21911	23642
481	21964	23604
482	22014	23564
483	22058	23516
484	22097	23464
485	22139	23415
486	22176	23360
487	22221	23314
488	22264	23265
489	22306	23216
490	22350	23170
491	22395	23123
492	22442	23079
493	22486	23033
494	22531	22986
495	22576	22940
496	22619	22892
497	22662	22844
498	22707	22798
499	22749	22749
500	22792	22701
501	22837	22655
502	22884	22611
503	22931	22567
504	22975	22520
505	23018	22472
506	23062	22425
507	23105	22377
508	23163	22344
509	23203	22293
510	23249	22248
511	23297	22205
512	23342	22159
513	23386	22112
514	23431	22066
515	23475	22019
516	23518	21971
517	23561	21923
518	23619	21890
519	23660	21840
520	23702	21791
521	23745	21743
522	23791	21698
523	23836	21653
524	23883	21609
525	23929	21564
526	23976	21519
527	24017	21470
528	24058	21420
529	24106	21377
530	24152	21332
531	24201	21290
532	24246	21244
533	24286	21193
534	24330	21147
535	24373	21099
536	24421	21055
537	24466	21010
538	24512	20965
539	24558	20920
540	24604	20875
541	24644	20825
542	24684	20775
543	24724	20725
544	24767	20677
545	24821	20639
546	24860	20588
547	24905	20542
548	24942	20490
549	24986	20443
550	25032	20398
551	25076	20351
552	25123	20307
553	25169	20262
554	25216	20218
555	25259	20171
556	25311	20130
557	25354	20083
558	25400	20038
559	25446	19993
560	25518	19968
561	25564	19923
562	25611	19879
563	25655	19833
564	25701	19787
565	25746	19741
566	25790	19695
567	25834	19648
568	25878	19602
569	25919	19553
570	25965	19508
571	26024	19473
572	26068	19425
573	26112	19379
574	26153	19331
575	26196	19283
576	26239	19236
577	26286	19192
578	26332	19146
579	26368	19094
580	26407	19044
581	26447	18995
582	26487	18945
583	26528	18897
584	26572	18850
585	26619	18806
586	26661	18758
587	26700	18708
588	26744	18662
589	26787	18615
590	26826	18565
591	26861	18512
592	26898	18461
593	26945	18417
594	26990	18371
595	27036	18326
596	27081	18281
597	27123	18233
598	27167	18187
599	27208	18139
600	27251	18092
601	27295	18045
602	27338	17999
603	27383	17953
604	27428	17908
