iter	RMSE
272	570.8259292
273	570.7752198
274	570.7745312
275	570.7739386
276	570.7367851
277	570.7150793
278	570.7086936
279	570.7029264
280	570.6628415
281	570.6128426
282	570.5768965
283	570.5550339
284	570.4806613
285	570.4652307
286	570.4622582
287	570.4393196
288	570.4366255
289	570.4131882
290	570.4086012
291	570.3690569
292	570.2890452
293	570.2845846
294	570.2089664
295	570.2051226
296	570.1840636
297	570.1836927
298	570.1693883
299	570.1481402
300	570.1130347
301	570.1063686
302	570.0929842
303	570.0732624
304	570.0634603
305	569.9688602
306	569.7406694
307	569.7279528
308	569.6501556
309	569.6038169
310	569.5994197
311	569.5957411
312	569.5807553
313	569.5805411
314	569.5684605
315	569.5542319
316	569.5329047
317	569.3558164
318	569.3556291
319	569.3134029
320	569.2741437
321	569.2615344
322	569.2408255
323	569.1838314
324	569.1668741
325	569.1485506
326	569.1308563
327	569.0603446
328	569.0488484
329	569.0452241
330	568.9924596
331	568.9914619
332	568.9779529
333	568.9748054
334	568.9542091
335	568.9082737
336	568.8597569
337	568.8563628
338	568.7888535
339	568.7340926
340	568.6932516
341	568.6654244
342	568.6240961
343	568.4880525
344	568.4512295
345	568.3612604
346	568.3424601
347	568.2973086
348	568.2137603
349	568.195476
350	568.1854471
351	568.1038582
352	568.0947068
353	568.0283998
354	567.9421462
355	567.9338645
356	567.8529811
357	567.8114313
358	567.8091582
359	567.79018
360	567.7836441
361	567.6261135
362	567.6204077
363	567.6050435
364	567.59242
365	567.5848668
366	567.5697365
367	567.5522238
368	567.4735869
369	567.3673201
370	567.365666
371	567.364018
372	567.3459154
373	567.2277353
374	567.2262415
375	567.1637388
376	567.1623804
377	567.1409664
378	567.0791182
379	566.9406669
380	566.8894876
381	566.8736033
382	566.8693698
383	566.7601015
384	566.7520584
385	566.7519435
386	566.750694
387	566.6867478
388	566.6856183
389	566.6698555
390	566.6515736
391	566.5116627
392	566.5042822
393	566.4451795
394	566.4441614
395	566.406799
396	566.2864674
397	566.205101
398	566.1722697
399	566.1038324
400	566.0993723
401	566.0264876
402	565.8940192
403	565.8876883
404	565.8708662
405	565.8348586
406	565.8270645
407	565.8205104
408	565.6907147
409	565.684823
410	565.6812457
411	565.6781782
412	565.61846
413	565.6065233
414	565.5955476
415	565.5895897
416	565.5154364
417	565.5040918
418	565.4471481
419	565.3946238
420	565.3171826
421	565.2423736
422	565.2261423
423	565.1898796
424	565.1776203
425	565.0716126
426	564.9926205
427	564.9200459
428	564.8515369
429	564.8326941
430	564.8220958
431	564.7816703
432	564.6831769
433	564.6769271
434	564.671276
435	564.6612057
436	564.6343907
437	564.5404349
438	564.4340084
439	564.3964866
440	564.3956195
441	564.3556515
442	564.2459278
443	564.2301842
444	564.2206269
445	564.1419072
446	564.0705033
447	564.0306542
448	564.0215654
449	564.0051449
450	563.9965066
451	563.994972
452	563.9749154
453	563.9697039
454	563.9505124
455	563.8807832
456	563.8760744
457	563.8175533
458	563.7892444
459	563.7781884
460	563.7644664
461	563.7562394
462	563.7112545
463	563.5640229
464	563.5613419
465	563.5605936
466	563.5456979
467	563.4901514
468	563.3742055
469	563.2180649
470	563.2102848
471	563.2060006
472	563.0734297
473	563.0719964
474	563.0371757
475	563.0268513
476	562.9544885
477	562.9470943
478	562.946423
479	562.8788656
480	562.811549
481	562.805486
482	562.7628412
483	562.5694423
484	562.5686393
485	562.5615999
486	562.554909
487	562.5037222
488	562.4696707
489	562.3935142
490	562.3096837
491	562.3033152
492	562.2804438
493	562.2370713
494	562.1718355
495	562.1557812
496	562.1428861
497	562.0798799
498	562.0158008
499	561.948078
500	561.8892587
501	561.7379297
502	561.7188586
503	561.6249231
504	561.5690794
505	561.4944694
506	561.480558
507	561.4603706
508	561.3815773
509	561.3815241
510	561.3003442
511	561.2422326
512	561.1816938
513	561.1710709
514	561.1573664
515	561.0252956
516	560.9913957
517	560.9853286
518	560.9756941
519	560.8751762
520	560.8729128
521	560.8704636
522	560.8698856
523	560.8153016
524	560.7778627
525	560.7391456
526	560.7307873
527	560.7283657
528	560.6732549
529	560.6727321
530	560.4651588
531	560.4227485
532	560.3303418
533	560.3296172
534	560.29597
535	560.29386
536	560.2703516
537	560.2494746
538	560.2489911
539	560.181486
540	560.1685037
541	560.1614397
542	560.1587108
543	560.0853616
544	560.0818928
545	559.9039401
546	559.9035175
547	559.8893323
548	559.876415
549	559.8708327
550	559.8433128
551	559.6936554
552	559.6740006
553	559.6739312
554	559.6342855
555	559.6338946
556	559.603983
557	559.5497803
558	559.5059491
559	559.4936735
560	559.4861054
561	559.4770694
562	559.4723249
563	559.4681133
564	559.3808771
565	559.3475613
566	559.3323322
567	559.2162717
568	559.2102318
569	559.1970206
570	559.1536531
571	559.1485572
572	559.1374575
573	559.0961957
574	559.084006
575	558.9595979
576	558.9564571
577	558.9460759
578	558.9077763
579	558.9031752
580	558.8670928
581	558.8510007
582	558.8312883
583	558.7976724
584	558.7846971
585	558.7226583
586	558.6683281
587	558.6499553
588	558.6308071
589	558.6007493
590	558.5980621
591	558.5956157
592	558.5950223
593	558.5536017
594	558.3435118
595	558.3406746
596	558.3401749
597	558.3280122
598	558.305103
599	558.2992944
600	558.2696089
601	558.2555449
602	558.1731306
603	558.1663283
604	558.1366972
605	558.1189736
606	558.0555887
607	558.0270949
608	558.0102636
609	558.0048023
610	557.8887523
611	557.8778542
612	557.8534111
613	557.7427844
614	557.7422676
615	557.6763991
616	557.665707
617	557.6396015
618	557.6346238
619	557.6294045
620	557.6111222
621	557.6072979
622	557.6036116
623	557.5709271
624	557.4885663
625	557.4811419
626	557.4705615
627	557.4651301
628	557.4121546
629	557.3878044
630	557.3856863
631	557.3205694
632	557.2888249
633	557.273225
634	557.1565305
635	556.962854
636	556.9564309
637	556.9430358
638	556.926865
639	556.8946397
640	556.8673323
641	556.8558728
642	556.8426898
643	556.8336573
644	556.8235828
645	556.7987868
646	556.7352526
647	556.7337281
648	556.5210735
649	556.5136149
650	556.5053973
651	556.3176676
652	556.3152958
653	556.2538653
654	556.2515423
655	556.1388814
656	556.1006387
657	556.0745658
658	556.0606638
659	556.0508932
660	556.0504698
661	556.0292413
662	555.9224335
663	555.8613292
664	555.8593672
665	555.8591079
666	555.7976312
667	555.7972647
668	555.7381103
669	555.695263
670	555.6931524
671	555.6822438
672	555.3686478
673	555.3450294
674	555.2396498
675	555.1991267
676	555.1990651
677	555.1975406
678	555.1510229
679	555.1404594
680	555.1368519
681	555.1181488
682	555.1054516
683	555.1036401
